id,year,org,sentence,type,X,action,Y,22,0,0,10,2,1
25416948,2014,"Laboratory of Retrovirology, Aaron Diamond AIDS Research Center, The Rockefeller University, 455 First Avenue, New York, NY 10016, USA; Howard Hughes Medical Institute, Aaron Diamond AIDS Research Center, The Rockefeller University, 455 First Avenue, New York, NY 10016, USA. Electronic address: pbienias@adarc.org.","Prior to assembly, and after virion assembly and maturation, the nucleocapsid domain of Gag preferentially binds to psi and Rev Response elements in the viral genome, and GU-rich mRNA sequences.",0,,,,,,,,,
25416948,2014,"Laboratory of Retrovirology, Aaron Diamond AIDS Research Center, The Rockefeller University, 455 First Avenue, New York, NY 10016, USA; Howard Hughes Medical Institute, Aaron Diamond AIDS Research Center, The Rockefeller University, 455 First Avenue, New York, NY 10016, USA. Electronic address: pbienias@adarc.org.","Additionally, we find that the matrix domain of Gag binds almost exclusively to specific tRNAs in the cytosol, and this association regulates Gag binding to cellular membranes.",0,,,,,,,,,
25116391,2014,"Centre for Interdisciplinary Research in Basic Sciences, Jamia Millia Islamia, New Delhi, India.","Owing to this hypothesis, we were driven to establish its calcium binding property in vitro.",0,,,,,,,,,
25116391,2014,"Centre for Interdisciplinary Research in Basic Sciences, Jamia Millia Islamia, New Delhi, India.",These studies clearly indicate a significant change in the conformation of the Cyto3a protein after binding with calcium.,0,,,,,,,,,
24510226,2014,"Department of Biochemistry, Faculty of Medicine and Biological Sciences, University of Leicester, Henry Wellcome Building, Lancaster Road, Leicester, LE1 9HN, UK, mem16@le.ac.uk.",Tropomyosin is a two chained α-helical coiled coil protein that binds actin filaments and interacts with various actin binding proteins.,0,,,,,,,,,
24510226,2014,"Department of Biochemistry, Faculty of Medicine and Biological Sciences, University of Leicester, Henry Wellcome Building, Lancaster Road, Leicester, LE1 9HN, UK, mem16@le.ac.uk.",For example tropomyosin concerted movement on the surface of actin triggered by Ca(2+) binding to troponin or myosin head binding to actin has been argued to be key to the cooperative allosteric regulation of muscle contraction.,0,,,,,,,,,
24654910,2014,"Creighton University Medical Center , Omaha, NE, USA and.","p-Octopamine binds to neuroreceptors in insects that are not present in humans, while exhibiting poor binding to α-1, α-2, β-1, and β-2 adrenergic receptors in mammalian systems.",0,,,,,,,,,
24654910,2014,"Creighton University Medical Center , Omaha, NE, USA and.",p-Octopamine modestly binds to β-3 adrenergic receptors and may therefore promote lipolysis and weight loss.,0,,,,,,,,,
24654910,2014,"Creighton University Medical Center , Omaha, NE, USA and.",p-Octopamine is considered to be a CNS stimulant in spite of the fact that it binds poorly to adrenergic receptors.,0,,,,,,,,,
25545246,2014,"Department of Pharmaceutical Sciences, University of Maryland School of Pharmacy, Baltimore, Maryland 21201, United States of America.","In contrast, synphilin-1 did not bind with CTP.",0,,,,,,,,,
