id,year,org,sentence,type,X,action,Y,13,10,1,2,0,0
30154895,2016,"Department of Pathology, the Second Affiliated Hospital of Zhejiang University Medical College, Hangzhou, China.",Plumbagin effectively ameliorated H2O2-induced oxidative stress through reducing oxidative stress (p < 0.01) and activating p-Nrf-2 levels.,0,,,,,,,,,
30505195,2016,"Indian Institute of Technology, Department of Chemical Engineering, Roorkee, India.",Biosorption is an effective treatment method for the removal of phenol and cyanide from aqueous solution by saw dust activated carbon (SDAC).,0,,,,,,,,,
30581316,2016,"Department of Bioengineering, Faculty of Engineering, Integral University, Lucknow 226026, Uttar Pradesh, India.",A computational approach to find out the Major Histocompatibility Complex (MHC) binding peptide has been implemented.,0,,,,,,,,,
30581316,2016,"Department of Bioengineering, Faculty of Engineering, Integral University, Lucknow 226026, Uttar Pradesh, India.",The prediction analysis identified MHC class I (using propred I) and MHC class II (using propred) binding peptides at an expectable percent predicted IC (50) threshold values.,0,,,,,,,,,
30581316,2016,"Department of Bioengineering, Faculty of Engineering, Integral University, Lucknow 226026, Uttar Pradesh, India.",These predicted Human leukocyte antigen [HLA] allele binding peptides were further analyzed for potential conserved region using an Immune Epitope Database and Analysis Resource (IEDB).,0,,,,,,,,,
30581316,2016,"Department of Bioengineering, Faculty of Engineering, Integral University, Lucknow 226026, Uttar Pradesh, India.","The predicted peptides MHC class I are ILDSNGDIIGLY, FVMDEAHFTDPA, KTRKILPQIIK, RLMSPNRVPNYNLF, APTRVVAAEMAEAL, YENVFHTLW and MHC class II molecule are TTGVYRIMARGILGT, NYNLFVMDEAHFTDP, AAAIFMTATPPGTTD, GDTTTGVYRIMARGI and FGEVGAVSL found to be top ranking with potential super antigenic property by binding to all HLA.",0,,,,,,,,,
30581315,2016,"Department of Biotechnology, K L University, Greenfields, Vaddeswaram (V), Guntur (D), Andhra Pradesh 522502, India.",The gene targeted in this context is dehydration response element binding factors (DREB).,0,,,,,,,,,
29896017,2016,"Division of Information Science and Biostatistics, Niigata University Graduate School of Medical and Dental Sciences, 1 Asahimachi Dori Niigata, Niigata 951-8520, Japan.","A statistically significant decrease in prothrombin and activated partial thromboplastin times were noted in the general anesthesia group, but all measurements were within the normal range.",0,,,,,,,,,
30246630,2016,"6 Institut national de santé publique du Québec (INSPQ), Québec, Canada.","L'intervention comporte des activités visant des changements individuels et environnementaux _ travers diverses méthodes comme le counseling motivationnel, l'éducation par les pairs, le modeling, la communication persuasive, le renforcement de capacités et la réorganisation des services cliniques.",0,,,,,,,,,
29263860,2016,"Sanofi Pasteur, Cambridge, MA, USA.","The KAS2-A1-specific antibodies neutralised the gingipains by inhibiting: proteolytic activity, binding to host cells/proteins and co-aggregation with other periodontal bacteria.",0,,,,,,,,,
29195869,2016,"International Iberian Nanotechnology Laboratory, Av. Mestre José Veiga s/n, 4715-330 Braga, Portugal.",bLf nanoparticles with 35mM FeCl3 showed an iron binding efficiency value of approximately 20%.,0,,,,,,,,,
29178720,2016,"The Procter $Gamble Company, Mason, Ohio, USA.",We also assessed the effect of these agents to inhibit LPS and LTA binding to cellular Toll-like Receptors (TLRs) in vitro.,0,,,,,,,,,
29178720,2016,"The Procter $Gamble Company, Mason, Ohio, USA.","Methods:
      
    

    
      The ability of these antimicrobials to bind with LPS and/or LTA was assessed in both the Limulus amebocyte lysate and BODIPY-TR-cadaverine dye assays.",0,,,,,,,,,
29178720,2016,"The Procter $Gamble Company, Mason, Ohio, USA.",Mass spectroscopy was then used to confirm that stannous fluoride directly binds with LPS and to determine stoichiometry.,3,fluoride,binds,LPS,,,,,,
29178720,2016,"The Procter $Gamble Company, Mason, Ohio, USA.","Lastly, we looked for possible inhibitory effects of these antimicrobial agents on the ability of fluorescently conjugated LPS to bind to TLR4 expressed on HEK 293 cells.",0,,,,,,,,,
29178720,2016,"The Procter $Gamble Company, Mason, Ohio, USA.","Clinical significance:
      
    

    
      These results support a potential mechanism of action for stannous fluoride and CPC formulated in oral products in which these ingredients bind bacterial toxins and potentially render them less toxic to the host.",3,ingredients,bind,toxins,,,,,,
29178719,2016,"The Procter $ Gamble Company, Mason, Ohio, USA.","Results:
      
    

    
      All LPS from P. gingivalis activated both TLR2 and TLR4 responses.",1,LPS,activated,responses,,,,,,
29098073,2016,"Department of Biochemistry and Molecular Pharmacology, University of Massachusetts Medical School, Worcester, MA, 01605, USA.",Others sense foreign sequences in the form of double-stranded RNA and activate the innate immune response.,1,Others,activate,response,,,,,,
