id,year,org,sentence,type,X,action,Y,33,4,9,1,15,4
32454163,2020,"Environment-Omics-Disease Research Center, China Medical University Hospital, China Medical University, Taichung, Taiwan, China; Graduate Institute normof Toxicology, College of Medicine, National Taiwan University, Taipei, Taiwan, China. Electronic address: d97913@mail.cmuh.org.tw.",MAO-A inhibitors prevent neurotransmitter breakdown and increase dopamine and serotonin concentrations in the brain.,5,MAO-A inhibitors,prevent,neurotransmitter breakdown,,,,,,
32455453,2020,"Centre for Atherothrombotic & Metabolic Disease, Hull York Medical School, Hull, United Kingdom of Great Britain and Northern Ireland.","In the first part, we explain the basic chemical kinetics concepts and algebraic equations required to perform ""street fighting"" quantitative analysis.",0,,,,,,,,,
32454074,2020,"National Institutes for Food and Drug Control, Beijing 100050, China. Electronic address: bjhcq@263.net.","Fluorescence imaging and Oil Red O stain assays showed all the tested macrolide drugs induced liver degeneration, changed liver size and liver steatosis in larval zebrafish.",4,all the tested macrolide drugs,induced,liver degeneration,,,,,,
32454074,2020,"National Institutes for Food and Drug Control, Beijing 100050, China. Electronic address: bjhcq@263.net.",The whole-mount in situ hybridization showed high transcription of c-Fos induced by macrolide compounds mainly in the liver region of zebrafish larvae.,0,,,,,,,,,
32454074,2020,"National Institutes for Food and Drug Control, Beijing 100050, China. Electronic address: bjhcq@263.net.",These data indicate that hepatotoxicity induced by macrolides may be correlated with c-Fos expression activated by these compounds.,0,,,,,,,,,
32454074,2020,"National Institutes for Food and Drug Control, Beijing 100050, China. Electronic address: bjhcq@263.net.","This study may provide a biomarker for the further investigations on the mechanism of hepatotoxicity induced by macrolide drugs with different structures, and extend our understanding for improving rational clinical application of macrolides.",0,,,,,,,,,
32454225,2020,"Department of Gastroenterology and Hepatology, Tianjin Medical University General Hospital, Anshan Road 154, Heping District, Tianjin 300052, China; Tianjin Institute of Digestive Disease, Tianjin Medical University General Hospital, Anshan Road 154, Heping District, Tianjin 300052, China; Tianjin Key Laboratory of Digestive Disease, Tianjin Medical University General Hospital, Anshan Road 154, Heping District, Tianjin 300052, China; Department of Gastroenterology, Tianjin Medical University General Hospital Airport Hospital, East Street 6, Tianjin Airport Economic Area, Tianjin 300308, China. Electronic address: chaosun@tmu.edu.cn.","As a typical UCP2-inhibiting compound, genipin could inhibit AMP-activated protein kinase or NF-κB in circumstance.",1,genipin,could inhibit,AMP-activated protein kinase or NF-κB,,,,,,
32454225,2020,"Department of Gastroenterology and Hepatology, Tianjin Medical University General Hospital, Anshan Road 154, Heping District, Tianjin 300052, China; Tianjin Institute of Digestive Disease, Tianjin Medical University General Hospital, Anshan Road 154, Heping District, Tianjin 300052, China; Tianjin Key Laboratory of Digestive Disease, Tianjin Medical University General Hospital, Anshan Road 154, Heping District, Tianjin 300052, China; Department of Gastroenterology, Tianjin Medical University General Hospital Airport Hospital, East Street 6, Tianjin Airport Economic Area, Tianjin 300308, China. Electronic address: chaosun@tmu.edu.cn.",Further studies are therefore required to disentangle these complicated pharmacological properties to confer this natural agent a far greater potency.,0,,,,,,,,,
32454064,2020,"Center for Substance Abuse Research, Lewis Katz School of Medicine, Temple University, Philadelphia, PA 19140, USA; Department of Pharmacology, Lewis Katz School of Medicine, Temple University, Philadelphia, PA 19140, USA. Electronic address: ellen.unterwald@temple.edu.","GSK-3β has been demonstrated to function as a regulator of multiple behavioral processes induced by drugs of abuse, particularly psychostimulant drugs.",0,,,,,,,,,
32454064,2020,"Center for Substance Abuse Research, Lewis Katz School of Medicine, Temple University, Philadelphia, PA 19140, USA; Department of Pharmacology, Lewis Katz School of Medicine, Temple University, Philadelphia, PA 19140, USA. Electronic address: ellen.unterwald@temple.edu.","Additional studies are required to examine the role of GSK-3β in distinct cell types within the mesolimbic and memory circuits to further elucidate the mechanisms related to the acquisition, consolidation, and recall of drug-related memories, and potentially countering neuroadaptations that reinforce drug-seeking behaviors that maintain drug dependence.",0,,,,,,,,,
32453880,2020,"Dr Ruth Pfau Civil Hospital Karachi, Dow University of Health Sciences, Karachi, Pakistan.","Male subjects, having any one of the sperm parameters below the reference values comprised the group of ""Altered Sperm Parameters"".The thyroid profile; Thyroxine (T4,) triiodo thyronine (T3), thyroid Stimulating Hormone (TSH), Thyroid Peroxidase antibodies (Anti-TPO) was estimated in addition to reproductive hormones Testosterone and Sex hormone binding globulin (SHBG).",0,,,,,,,,,
32453815,2020,"Anhui Provincial Key Laboratory for Chinese Herbal Compound, Anhui Academy of Chinese Medicine, Hefei 230012, China.",Their relationship is usually defined as competition as C. glabrata can inhibit growth of C. albicans in cohabitation.,2,C. glabrata,can inhibit,growth,,,,,,
32455482,2020,"Consultant Clinical Psychologist/Clinical Director/Senior Lecturer in Clinical Psychology (honorary), Cardiff University and Prifysgol Caerdydd and Cardiff and Vale NHS board, UK.",Systematic research to explore this further requires a valid and reliable measurement tool.,4,Systematic research,requires,valid and reliable measurement tool,,,,,,
32455482,2020,"Consultant Clinical Psychologist/Clinical Director/Senior Lecturer in Clinical Psychology (honorary), Cardiff University and Prifysgol Caerdydd and Cardiff and Vale NHS board, UK.","Although the factor structure of the EAVE-Q requires replication in other AN samples, the EAVE-Q is the first measure of a critical internal dialogue in AN.",4,factor structure,requires,replication,,,,,,
32454173,2020,"Clinical Research Division, Korea Institute of Oriental Medicine, 1672 Yuseong-daero, 34054, Daejeon, Republic of Korea. Electronic address: jjy0918@kiom.re.kr.","In addition, DST inhibited hepatic lipid accumulation through the downregulation of C/EBPα, PPARγ, and pAMPK.",2,DST,inhibited,hepatic lipid accumulation,,,,,,
