id,year,org,sentence,type,X,action,Y,38,3,14,0,18,3
31983932,2018,"Division of Geriatrics and Palliative Medicine, Weill Cornell Medicine, New York, New York, USA.","Some special populations of interest within the community of PLWH include those with chronic pain, substance abuse, or requiring end of life care.",0,,,,,,,,,
31949644,2018,"Department of Clinical Laboratory, Tianjin Nankai Hospital Tianjin, China.",The underlying mechanism may be that CS accelerates the recovery of renal function and renal pathology by reducing local renal oxidative stress and influencing MAPK signal pathways.,4,CS,accelerates,recovery and pathology,,,,,,
31949667,2018,"Department of Cardiology, Chinese PLA General Hospital Beijing 100853, China.","LncRNAs are recently thought to be oncogenes in various cancers, and its expression levels are validated that can be inhibited by miRNAs.",0,,,,,,,,,
32095423,2018,Utah State University.,"Research suggests that parenting programs are effective for preventing behavioral and emotional difficulties in children, but a lot more attention needs to be paid to issues of context and culture during the development, testing and implementation of these interventions.",0,,,,,,,,,
32095423,2018,Utah State University.,"The successful implementation of evidence-based interventions for vulnerable children and families in underserved and marginalized communities requires careful consideration of how existing paradigms of prevention, evaluation, and implementation science impact issues of social justice and equity.",4,implementation,requires,consideration,,,,,,
32104434,2018,"School of Chinese Materia Medica, Beijing University of Chinese Medicine, Beijing 100029, China.","The designing of a novel approach for a safe, simple, and effective ocular drug delivery is a major concern and requires innovative strategies to combat the problem.",4,designing,requires,strategies,,,,,,
31949657,2018,"Department of Gynecology and Obstetrics, Sichuan Academy of Medical Sciences, Sichuan Provincial People's Hospital Chengdu, Sichuan, China.",Functional analysis revealed that miR-20a-5p overexpression inhibited EMT and invasion of EC cells.,2,miR-20a-5p overexpression,inhibited,EMT and invasion of EC cells,,,,,,
31949657,2018,"Department of Gynecology and Obstetrics, Sichuan Academy of Medical Sciences, Sichuan Provincial People's Hospital Chengdu, Sichuan, China.",Further exploration showed that miR-20a-5p inhibited STAT3 expression by direct interaction.,2,miR-20a-5p,inhibited,STAT3 expression,,,,,,
32042203,2018,"Department of Health Outcomes and Policy, University of Florida.","The calculations are easily computed with a free, open-source product that requires only a web browser to use.",0,,,,,,,,,
32042350,2018,"Psychoanalysis Unit, University College London, London, United Kingdom.","MIT aims to reduce negative psychological symptoms by stimulating an understanding of mental states and their links to behavior in self and others, including in challenging interpersonal situations.",0,,,,,,,,,
32042350,2018,"Psychoanalysis Unit, University College London, London, United Kingdom.",Further research is required to determine the clinical efficacy of MIT in controlled trials.,0,,,,,,,,,
32104456,2018,"Solid State Pharmaceutical Research Group (SSPRG), Department of Pharmaceutics, National Institute of Pharmaceutical Education and Research, Hyderabad 500037, India.",The present review aims to provide an overview of different mechanisms by which these cellulose derivatives inhibit the crystallization of drugs in the solid state and from supersaturated solution.,2,derivatives,inhibit,crystallization,,,,,,
31949650,2018,"Division of Digestive Diseases, West China Hospital, Sichuan University Chengdu, PR China.",Hypoxia inducible factor 1 alpha subunit (HIF-1α) is induced in hypoxic conditions and plays a crucial role in the neoangiogenesis and metastasis of cancer.,0,,,,,,,,,
31949650,2018,"Division of Digestive Diseases, West China Hospital, Sichuan University Chengdu, PR China.","Additionally, augmented HIF-1α expression was positively associated with TNM stage III-IV (P = 0.025), the presence of distant metastasis and vascular invasion (P = 0.048), and the presence of positive lymph nodes (P = 0.041).",0,,,,,,,,,
32104474,2018,"Shenyang Pharmaceutical University, Shenyang 110016, China.","Accelerated blood clearance (ABC) phenomenon is common in many PEGylated nanocarriers, whose mechanism has not been completely elucidated yet.",0,,,,,,,,,
32104474,2018,"Shenyang Pharmaceutical University, Shenyang 110016, China.","In this study, the correlation between Kupffer cells (KCs) and ABC phenomenon has been studied by KCs-targeted liposomes inducing ABC phenomenon and KCs depletion.",0,,,,,,,,,
32104474,2018,"Shenyang Pharmaceutical University, Shenyang 110016, China.","What's more, ABC phenomenon of the secondary injection of PL was stronger in KCs depletion rats than that in normal rats, which indicated that depletion of KCs prolonged the circulation of PL in the first injection repeatedly stimulating B-cells in the marginal region of the spleen and causing it to secrete more IgM antibodies.",0,,,,,,,,,
32104474,2018,"Shenyang Pharmaceutical University, Shenyang 110016, China.","Most important of all, KCs-targeted liposomes could induce a stronger ABC phenomenon than PL in normal rats, which declared that based on the same IgM concentration, the more the KCs were stimulated, the stronger ABC phenomenon was induced.",4,KCs-targeted liposomes,could induce,stronger ABC phenomenon,,,,,,
31949666,2018,"Department of Emergency, The First Affiliated Hospital of Guangxi Medical University Nanning, Guangxi, China.","GO inhibits the proliferation of HONE1 cells, promotes their apoptosis in a concentration-dependent manner and enhances the expression of the ER stress chaperone GRP78 in HONE1 cells.",2,GO,inhibits,proliferation,,,,,,
31949666,2018,"Department of Emergency, The First Affiliated Hospital of Guangxi Medical University Nanning, Guangxi, China.","Thus, GO inhibits the proliferation of nasopharyngeal carcinoma cells via the induction of cytotoxic autophagy.",2,GO,inhibits,proliferation,,,,,,
31949666,2018,"Department of Emergency, The First Affiliated Hospital of Guangxi Medical University Nanning, Guangxi, China.","In addition, ER stress is also activated as an adaptive response, so blocking ER stress may enhance the sensitivity of nasopharyngeal carcinoma cells to GO.",0,,,,,,,,,
32104452,2018,"School of Pharmacy, Shenyang Pharmaceutical University, No. 103, Wenhua Road, Shenyang 110016, China.","Here in this study, a simple and effective drug loading method based on salt induced modulation was proposed and demonstrated with mechanism elucidation.",0,,,,,,,,,
